Transaction ID,Product ID,Product Category,Product Subcategory,Product Price,Quantity Sold,Transaction Date,Customer ID,Customer Location,Payment Method,Transaction_Date,Product_Price,Quantity_Sold,Total_Sales,Transaction_Month
1,151,Clothing,Mobile,11.14,11,2023-02-12,1017,Florida,PayPal,2023-02-12,11.14,11,122.54,2
2,192,Electronics,Fiction,237.04,10,2023-01-21,1016,New York,Debit Card,2023-01-21,237.04,10,2370.4,1
3,114,Books,Fiction,154.13,19,2023-11-02,1037,New York,Debit Card,2023-11-02,154.13,19,2928.47,11
4,171,Groceries,Board Game,301.19,14,2023-07-23,1013,New York,Credit Card,2023-07-23,301.19,14,4216.66,7
5,160,Clothing,Board Game,152.13,10,2022-03-19,1086,Florida,Cash,2022-03-19,152.13,10,1521.3,3
6,120,Electronics,Laptop,153.46,15,2022-07-13,1088,California,Debit Card,2022-07-13,153.46,15,2301.9,7
7,182,Toys,Laptop,372.88,19,2022-10-12,1078,Illinois,Debit Card,2022-10-12,372.88,19,7084.72,10
8,186,Books,Mobile,28.83,4,2023-06-11,1055,Florida,Debit Card,2023-06-11,28.83,4,115.32,6
9,174,Clothing,Board Game,451.93,2,2023-06-08,1021,California,Cash,2023-06-08,451.93,2,903.86,6
10,174,Clothing,Non-fiction,426.87,9,2023-09-05,1066,California,Cash,2023-09-05,426.87,9,3841.83,9
11,187,Groceries,Non-fiction,335.56,10,2022-06-05,1055,Florida,Credit Card,2022-06-05,335.56,10,3355.6,6
12,199,Groceries,Mobile,298.64,11,2022-12-06,1018,Florida,PayPal,2022-12-06,298.64,11,3285.04,12
13,123,Toys,Non-fiction,446.69,14,2022-05-05,1056,California,Cash,2022-05-05,446.69,14,6253.66,5
14,102,Toys,Action Figure,96.74,7,2022-10-07,1043,California,PayPal,2022-10-07,96.74,7,677.18,10
15,121,Electronics,Pants,44.09,15,2023-09-14,1097,California,PayPal,2023-09-14,44.09,15,661.35,9
16,152,Electronics,Mobile,123.56,19,2023-10-20,1034,Florida,Cash,2023-10-20,123.56,19,2347.64,10
17,101,Toys,Mobile,398.32,15,2023-12-29,1000,California,Debit Card,2023-12-29,398.32,15,5974.8,12
18,187,Toys,Shirt,22.16,8,2023-11-05,1051,New York,Credit Card,2023-11-05,22.16,8,177.28,11
19,129,Books,Fruit,293.49,11,2022-05-08,1084,Florida,PayPal,2022-05-08,293.49,11,3228.3900000000003,5
20,137,Groceries,Fruit,497.74,9,2022-11-10,1092,New York,Debit Card,2022-11-10,497.74,9,4479.66,11
21,101,Electronics,Action Figure,428.57,15,2022-11-28,1069,Texas,Cash,2022-11-28,428.57,15,6428.55,11
22,163,Groceries,Board Game,263.12,1,2022-05-30,1036,Florida,PayPal,2022-05-30,263.12,1,263.12,5
23,159,Groceries,Laptop,36.5,1,2023-03-30,1064,Texas,PayPal,2023-03-30,36.5,1,36.5,3
24,120,Toys,Laptop,416.53,19,2022-02-05,1050,California,PayPal,2022-02-05,416.53,19,7914.07,2
25,132,Books,Vegetable,301.49,3,2023-11-16,1000,California,Debit Card,2023-11-16,301.49,3,904.47,11
26,175,Clothing,Action Figure,61.89,10,2023-02-24,1090,Illinois,Debit Card,2023-02-24,61.89,10,618.9,2
27,157,Books,Mobile,51.46,8,2022-01-22,1020,California,Debit Card,2022-01-22,51.46,8,411.68,1
28,121,Books,Action Figure,455.27,15,2022-07-25,1052,Texas,PayPal,2022-07-25,455.27,15,6829.049999999999,7
29,188,Groceries,Action Figure,336.25,10,2023-10-01,1015,California,PayPal,2023-10-01,336.25,10,3362.5,10
30,148,Books,Action Figure,415.5,1,2022-12-22,1060,Florida,Credit Card,2022-12-22,415.5,1,415.5,12
31,190,Electronics,Fruit,440.09,18,2023-03-16,1053,California,Credit Card,2023-03-16,440.09,18,7921.62,3
32,158,Groceries,Action Figure,288.03,2,2023-12-30,1039,Illinois,Debit Card,2023-12-30,288.03,2,576.06,12
33,141,Electronics,Pants,261.14,19,2022-04-06,1025,California,Debit Card,2022-04-06,261.14,19,4961.66,4
34,191,Clothing,Laptop,218.06,13,2022-06-13,1079,Texas,Cash,2022-06-13,218.06,13,2834.78,6
35,159,Groceries,Vegetable,161.89,1,2022-05-28,1091,Texas,Debit Card,2022-05-28,161.89,1,161.89,5
36,179,Clothing,Pants,220.13,2,2023-06-14,1064,California,Credit Card,2023-06-14,220.13,2,440.26,6
37,114,Groceries,Vegetable,388.07,16,2022-10-21,1099,Texas,Credit Card,2022-10-21,388.07,16,6209.12,10
38,161,Toys,Shirt,302.95,15,2022-07-14,1073,Texas,Credit Card,2022-07-14,302.95,15,4544.25,7
39,161,Books,Vegetable,446.8,13,2023-10-25,1063,Illinois,PayPal,2023-10-25,446.8,13,5808.400000000001,10
40,146,Toys,Laptop,224.47,16,2023-04-25,1042,Florida,PayPal,2023-04-25,224.47,16,3591.52,4
41,161,Clothing,Laptop,305.51,17,2022-05-03,1016,Illinois,Debit Card,2022-05-03,305.51,17,5193.67,5
42,150,Books,Action Figure,317.5,7,2023-02-04,1058,New York,Cash,2023-02-04,317.5,7,2222.5,2
43,154,Groceries,Fiction,297.89,17,2023-11-30,1022,Illinois,Cash,2023-11-30,297.89,17,5064.13,11
44,163,Books,Shirt,352.8,7,2023-03-28,1006,California,Cash,2023-03-28,352.8,7,2469.6,3
45,102,Electronics,Mobile,122.53,13,2023-10-23,1043,Florida,PayPal,2023-10-23,122.53,13,1592.89,10
46,150,Books,Non-fiction,258.62,5,2022-04-14,1052,California,Credit Card,2022-04-14,258.62,5,1293.1,4
47,106,Electronics,Vegetable,56.59,17,2023-04-07,1070,New York,Credit Card,2023-04-07,56.59,17,962.0300000000001,4
48,120,Books,Fiction,195.33,3,2023-12-19,1078,Florida,PayPal,2023-12-19,195.33,3,585.99,12
49,172,Electronics,Action Figure,246.4,7,2023-12-11,1033,Texas,Cash,2023-12-11,246.4,7,1724.8,12
50,138,Clothing,Fruit,327.85,17,2023-01-31,1045,Illinois,Cash,2023-01-31,327.85,17,5573.450000000001,1
51,117,Toys,Mobile,475.51,7,2022-12-03,1067,California,Debit Card,2022-12-03,475.51,7,3328.5699999999997,12
52,103,Groceries,Board Game,302.32,1,2023-08-22,1077,New York,Debit Card,2023-08-22,302.32,1,302.32,8
53,188,Books,Fiction,373.08,17,2022-05-22,1077,Texas,Cash,2022-05-22,373.08,17,6342.36,5
54,159,Toys,Fruit,255.6,17,2022-11-13,1015,Illinois,PayPal,2022-11-13,255.6,17,4345.2,11
55,113,Groceries,Shirt,318.88,11,2023-12-12,1070,Texas,Cash,2023-12-12,318.88,11,3507.68,12
56,108,Groceries,Action Figure,40.11,3,2023-07-12,1095,Illinois,Debit Card,2023-07-12,40.11,3,120.33,7
57,189,Electronics,Mobile,130.92,15,2023-06-11,1018,Florida,Cash,2023-06-11,130.92,15,1963.7999999999997,6
58,152,Clothing,Mobile,184.12,11,2023-07-10,1001,Texas,PayPal,2023-07-10,184.12,11,2025.3200000000002,7
59,101,Clothing,Mobile,238.88,16,2023-02-05,1009,Texas,Credit Card,2023-02-05,238.88,16,3822.08,2
60,183,Toys,Shirt,27.6,9,2023-11-12,1049,Texas,PayPal,2023-11-12,27.6,9,248.4,11
61,191,Clothing,Vegetable,74.31,1,2022-11-06,1080,Florida,PayPal,2022-11-06,74.31,1,74.31,11
62,159,Books,Board Game,142.02,16,2023-05-10,1011,New York,Debit Card,2023-05-10,142.02,16,2272.32,5
63,170,Clothing,Shirt,485.91,9,2023-07-10,1069,Illinois,PayPal,2023-07-10,485.91,9,4373.1900000000005,7
64,143,Toys,Non-fiction,169.02,19,2023-09-02,1021,Texas,PayPal,2023-09-02,169.02,19,3211.38,9
65,107,Clothing,Board Game,243.61,12,2022-04-19,1031,Florida,Debit Card,2022-04-19,243.61,12,2923.32,4
66,146,Books,Laptop,102.07,19,2023-01-07,1083,New York,Debit Card,2023-01-07,102.07,19,1939.33,1
67,134,Electronics,Action Figure,307.34,9,2023-09-08,1000,Illinois,Credit Card,2023-09-08,307.34,9,2766.06,9
68,177,Toys,Shirt,143.94,7,2022-07-25,1053,Florida,Cash,2022-07-25,143.94,7,1007.5799999999999,7
69,180,Electronics,Fruit,107.46,14,2022-02-12,1057,Illinois,PayPal,2022-02-12,107.46,14,1504.4399999999998,2
70,135,Electronics,Board Game,260.7,19,2022-09-02,1069,Texas,Debit Card,2022-09-02,260.7,19,4953.3,9
71,149,Electronics,Non-fiction,7.73,19,2022-10-14,1082,New York,Credit Card,2022-10-14,7.73,19,146.87,10
72,103,Groceries,Laptop,8.79,2,2022-12-21,1017,Florida,Cash,2022-12-21,8.79,2,17.58,12
73,101,Groceries,Vegetable,113.44,9,2023-04-21,1005,New York,Debit Card,2023-04-21,113.44,9,1020.96,4
74,105,Electronics,Fruit,23.18,13,2022-03-24,1044,Texas,Cash,2022-03-24,23.18,13,301.34,3
75,153,Toys,Board Game,58.47,15,2022-04-20,1096,New York,Cash,2022-04-20,58.47,15,877.05,4
76,103,Books,Action Figure,172.74,3,2022-07-09,1022,New York,PayPal,2022-07-09,172.74,3,518.22,7
77,153,Books,Fruit,402.28,11,2022-09-08,1022,California,PayPal,2022-09-08,402.28,11,4425.08,9
78,192,Clothing,Laptop,288.16,14,2023-12-25,1025,New York,Debit Card,2023-12-25,288.16,14,4034.2400000000002,12
79,162,Toys,Fruit,258.77,8,2022-10-18,1076,Illinois,Cash,2022-10-18,258.77,8,2070.16,10
80,117,Groceries,Pants,150.28,18,2023-10-07,1006,Florida,Debit Card,2023-10-07,150.28,18,2705.04,10
81,189,Electronics,Fiction,466.22,19,2022-07-20,1078,California,Debit Card,2022-07-20,466.22,19,8858.18,7
82,143,Clothing,Vegetable,201.52,16,2022-11-22,1043,Florida,Cash,2022-11-22,201.52,16,3224.32,11
83,133,Books,Laptop,48.11,2,2023-05-26,1026,Florida,Debit Card,2023-05-26,48.11,2,96.22,5
84,173,Groceries,Fruit,310.45,8,2023-02-13,1025,Texas,Cash,2023-02-13,310.45,8,2483.6,2
85,161,Groceries,Fiction,61.35,6,2023-08-30,1096,Texas,Cash,2023-08-30,61.35,6,368.1,8
86,199,Electronics,Fiction,175.89,12,2023-05-23,1078,California,Cash,2023-05-23,175.89,12,2110.68,5
87,113,Books,Fruit,256.17,15,2023-08-24,1035,Texas,Cash,2023-08-24,256.17,15,3842.55,8
88,194,Toys,Action Figure,437.74,8,2022-03-13,1054,Texas,Credit Card,2022-03-13,437.74,8,3501.92,3
89,147,Groceries,Pants,249.31,4,2022-09-04,1063,Texas,Cash,2022-09-04,249.31,4,997.24,9
90,114,Electronics,Shirt,352.62,15,2023-10-03,1090,Florida,PayPal,2023-10-03,352.62,15,5289.3,10
91,171,Toys,Pants,496.44,17,2023-12-25,1056,California,PayPal,2023-12-25,496.44,17,8439.48,12
92,177,Books,Fruit,70.09,13,2023-08-31,1068,Florida,PayPal,2023-08-31,70.09,13,911.1700000000001,8
93,186,Groceries,Vegetable,140.99,18,2023-08-10,1060,Illinois,Cash,2023-08-10,140.99,18,2537.82,8
94,161,Toys,Shirt,200.32,2,2023-07-20,1001,Florida,PayPal,2023-07-20,200.32,2,400.64,7
