Transaction_ID,Product_ID,Product_Category,Product_Subcategory,Product_Price,Quantity_Sold,Transaction_Date,Customer_ID,Customer_Location,Payment_Method,Total_Sales,Transaction_Month
1,151,Clothing,Mobile,11.14,11,2023-02-12,1017,Florida,PayPal,122.54,2
2,192,Electronics,Fiction,237.04,10,2023-01-21,1016,New York,Debit Card,2370.4,1
3,114,Books,Fiction,154.13,19,2023-11-02,1037,New York,Debit Card,2928.47,11
4,171,Groceries,Board Game,301.19,14,2023-07-23,1013,New York,Credit Card,4216.66,7
5,160,Clothing,Board Game,152.13,10,2022-03-19,1086,Florida,Cash,1521.3,3
6,120,Electronics,Laptop,153.46,15,2022-07-13,1088,California,Debit Card,2301.9,7
7,182,Toys,Laptop,372.88,19,2022-10-12,1078,Illinois,Debit Card,7084.72,10
8,186,Books,Mobile,28.83,4,2023-06-11,1055,Florida,Debit Card,115.32,6
9,174,Clothing,Board Game,451.93,2,2023-06-08,1021,California,Cash,903.86,6
10,174,Clothing,Non-fiction,426.87,9,2023-09-05,1066,California,Cash,3841.83,9
11,187,Groceries,Non-fiction,335.56,10,2022-06-05,1055,Florida,Credit Card,3355.6,6
12,199,Groceries,Mobile,298.64,11,2022-12-06,1018,Florida,PayPal,3285.04,12
13,123,Toys,Non-fiction,446.69,14,2022-05-05,1056,California,Cash,6253.66,5
14,102,Toys,Action Figure,96.74,7,2022-10-07,1043,California,PayPal,677.18,10
15,121,Electronics,Pants,44.09,15,2023-09-14,1097,California,PayPal,661.35,9
16,152,Electronics,Mobile,123.56,19,2023-10-20,1034,Florida,Cash,2347.64,10
17,101,Toys,Mobile,398.32,15,2023-12-29,1000,California,Debit Card,5974.8,12
18,187,Toys,Shirt,22.16,8,2023-11-05,1051,New York,Credit Card,177.28,11
19,129,Books,Fruit,293.49,11,2022-05-08,1084,Florida,PayPal,3228.3900000000003,5
20,137,Groceries,Fruit,497.74,9,2022-11-10,1092,New York,Debit Card,4479.66,11
21,101,Electronics,Action Figure,428.57,15,2022-11-28,1069,Texas,Cash,6428.55,11
22,163,Groceries,Board Game,263.12,1,2022-05-30,1036,Florida,PayPal,263.12,5
23,159,Groceries,Laptop,36.5,1,2023-03-30,1064,Texas,PayPal,36.5,3
24,120,Toys,Laptop,416.53,19,2022-02-05,1050,California,PayPal,7914.07,2
25,132,Books,Vegetable,301.49,3,2023-11-16,1000,California,Debit Card,904.47,11
26,175,Clothing,Action Figure,61.89,10,2023-02-24,1090,Illinois,Debit Card,618.9,2
27,157,Books,Mobile,51.46,8,2022-01-22,1020,California,Debit Card,411.68,1
28,121,Books,Action Figure,455.27,15,2022-07-25,1052,Texas,PayPal,6829.049999999999,7
29,188,Groceries,Action Figure,336.25,10,2023-10-01,1015,California,PayPal,3362.5,10
30,148,Books,Action Figure,415.5,1,2022-12-22,1060,Florida,Credit Card,415.5,12
31,190,Electronics,Fruit,440.09,18,2023-03-16,1053,California,Credit Card,7921.62,3
32,158,Groceries,Action Figure,288.03,2,2023-12-30,1039,Illinois,Debit Card,576.06,12
33,141,Electronics,Pants,261.14,19,2022-04-06,1025,California,Debit Card,4961.66,4
34,191,Clothing,Laptop,218.06,13,2022-06-13,1079,Texas,Cash,2834.78,6
35,159,Groceries,Vegetable,161.89,1,2022-05-28,1091,Texas,Debit Card,161.89,5
36,179,Clothing,Pants,220.13,2,2023-06-14,1064,California,Credit Card,440.26,6
37,114,Groceries,Vegetable,388.07,16,2022-10-21,1099,Texas,Credit Card,6209.12,10
38,161,Toys,Shirt,302.95,15,2022-07-14,1073,Texas,Credit Card,4544.25,7
39,161,Books,Vegetable,446.8,13,2023-10-25,1063,Illinois,PayPal,5808.400000000001,10
40,146,Toys,Laptop,224.47,16,2023-04-25,1042,Florida,PayPal,3591.52,4
41,161,Clothing,Laptop,305.51,17,2022-05-03,1016,Illinois,Debit Card,5193.67,5
42,150,Books,Action Figure,317.5,7,2023-02-04,1058,New York,Cash,2222.5,2
43,154,Groceries,Fiction,297.89,17,2023-11-30,1022,Illinois,Cash,5064.13,11
44,163,Books,Shirt,352.8,7,2023-03-28,1006,California,Cash,2469.6,3
45,102,Electronics,Mobile,122.53,13,2023-10-23,1043,Florida,PayPal,1592.89,10
46,150,Books,Non-fiction,258.62,5,2022-04-14,1052,California,Credit Card,1293.1,4
47,106,Electronics,Vegetable,56.59,17,2023-04-07,1070,New York,Credit Card,962.0300000000001,4
48,120,Books,Fiction,195.33,3,2023-12-19,1078,Florida,PayPal,585.99,12
49,172,Electronics,Action Figure,246.4,7,2023-12-11,1033,Texas,Cash,1724.8,12
50,138,Clothing,Fruit,327.85,17,2023-01-31,1045,Illinois,Cash,5573.450000000001,1
51,117,Toys,Mobile,475.51,7,2022-12-03,1067,California,Debit Card,3328.5699999999997,12
52,103,Groceries,Board Game,302.32,1,2023-08-22,1077,New York,Debit Card,302.32,8
53,188,Books,Fiction,373.08,17,2022-05-22,1077,Texas,Cash,6342.36,5
54,159,Toys,Fruit,255.6,17,2022-11-13,1015,Illinois,PayPal,4345.2,11
55,113,Groceries,Shirt,318.88,11,2023-12-12,1070,Texas,Cash,3507.68,12
56,108,Groceries,Action Figure,40.11,3,2023-07-12,1095,Illinois,Debit Card,120.33,7
57,189,Electronics,Mobile,130.92,15,2023-06-11,1018,Florida,Cash,1963.7999999999997,6
58,152,Clothing,Mobile,184.12,11,2023-07-10,1001,Texas,PayPal,2025.3200000000002,7
59,101,Clothing,Mobile,238.88,16,2023-02-05,1009,Texas,Credit Card,3822.08,2
60,183,Toys,Shirt,27.6,9,2023-11-12,1049,Texas,PayPal,248.4,11
61,191,Clothing,Vegetable,74.31,1,2022-11-06,1080,Florida,PayPal,74.31,11
